game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_NFL_W03_LV_NO,2026-09-16T11:05:47.855491+00:00,2026-09-27T20:25:00+00:00,273.3,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-16T11:05:47.855998+00:00,2026-09-28T00:20:00+00:00,277.2,False,False,open_meteo,85.1,79.9,4.6,7.2,129.0,0.1,0.0,17.0,2.0
2026_NFL_W03_PHI_CHI,2026-09-16T11:05:47.856456+00:00,2026-09-29T00:15:00+00:00,301.2,False,False,open_meteo,74.9,71.3,6.2,12.1,206.0,0.03,0.0,36.0,3.0
2026_NFL_W03_ATL_GB,2026-09-17T11:05:34.606566+00:00,2026-09-25T00:15:00+00:00,181.2,False,False,open_meteo,66.1,65.3,8.3,19.5,276.0,0.05,0.0,76.0,0.0
2026_NFL_W03_LAC_BUF,2026-09-17T11:05:34.607136+00:00,2026-09-27T17:00:00+00:00,245.9,False,False,open_meteo,64.4,60.2,8.7,8.3,241.0,0.09,0.0,43.0,0.0
2026_NFL_W03_CAR_CLE,2026-09-17T11:05:35.747898+00:00,2026-09-27T17:00:00+00:00,245.9,False,False,open_meteo,67.5,65.2,3.5,5.8,207.0,0.1,0.0,34.0,0.0
2026_NFL_W03_NYJ_DET,2026-09-17T11:05:35.748252+00:00,2026-09-27T17:00:00+00:00,245.9,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-17T11:05:36.883093+00:00,2026-09-27T17:00:00+00:00,245.9,False,True,open_meteo,70.4,67.5,7.9,11.6,145.0,0.05,0.0,40.0,1.0
2026_NFL_W03_NE_JAX,2026-09-17T11:05:38.004335+00:00,2026-09-27T17:00:00+00:00,245.9,False,False,open_meteo,78.4,81.1,14.7,26.2,73.0,0.21,0.047,80.0,55.0
2026_NFL_W03_KC_MIA,2026-09-17T11:05:39.129539+00:00,2026-09-27T17:00:00+00:00,245.9,False,False,open_meteo,86.3,89.2,13.1,14.8,147.0,0.27,0.024,58.0,53.0
2026_NFL_W03_TEN_NYG,2026-09-17T11:05:39.130108+00:00,2026-09-27T17:00:00+00:00,245.9,False,False,open_meteo,66.1,62.5,5.4,8.7,358.0,0.06,0.0,30.0,0.0
2026_NFL_W03_CIN_PIT,2026-09-17T11:05:40.250193+00:00,2026-09-27T17:00:00+00:00,245.9,False,False,open_meteo,66.3,64.4,2.6,3.4,121.0,0.09,0.0,33.0,0.0
